,Month,In store advertising ($),billboard Advertising ($),Print Advertising ($),Satisfaction,Competitor Adversiting ($),Price ($),Sales ($),Store_Billboard,Store_Print,Billboard_Print,Total_Advertising_Cost,Net_Profit,ROI
0,1,1698,698,556,68,607,95,13605.6119092442,1185204,944088,388088,2952,10653.6119092442,360.894712372771
1,2,2069,1075,775,72,637,101,19142.6733375182,2224175,1603475,833125,3919,15223.673337518201,388.4581101688747
2,3,2271,615,772,71,761,95,15027.6234000871,1396665,1753212,474780,3658,11369.6234000871,310.81529251194917
3,4,1413,1158,1098,79,1183,98,16589.6591022724,1636254,1551474,1271484,3669,12920.659102272399,352.1575116454728
4,5,2107,1175,386,77,940,97,21887.5820998904,2475725,813302,453550,3668,18219.5820998904,496.7170692445583
5,6,2126,523,538,68,994,104,11786.3916742929,1111898,1143788,281374,3187,8599.3916742929,269.82716267
6,7,1856,1234,364,64,774,106,16118.905273362,2290304,675584,449176,3454,12664.905273362,366.67357479334106
7,8,1863,943,928,72,521,97,17846.2932391972,1756809,1728864,875104,3734,14112.293239197199,377.94036527041237
8,9,1858,831,688,63,941,103,14714.0827912756,1543998,1278304,571728,3377,11337.0827912756,335.7146221876103
9,10,1777,1111,340,72,758,108,15947.7836222835,1974247,604180,377740,3228,12719.7836222835,394.0453414585966
10,11,1880,1320,595,67,854,102,20287.9677693413,2481600,1118600,785400,3795,16492.9677693413,434.5973061750013
11,12,1750,1391,551,76,993,102,20092.3601467292,2434250,964250,766441,3692,16400.3601467292,444.21343842711804
12,13,1805,699,874,74,937,104,12838.1234331803,1261695,1577570,610926,3378,9460.1234331803,280.05101933630255
13,14,2016,890,939,77,386,98,17236.2856483994,1794240,1893024,835710,3845,13391.2856483994,348.27791023145386
14,15,2239,1036,481,67,368,95,19391.2366253208,2319604,1076959,498316,3756,15635.236625320798,416.27360557297123
15,16,1972,1016,1056,80,1140,103,20337.5529492823,2003552,2082432,1072896,4044,16293.5529492823,402.9068483996612
16,17,1872,888,916,66,576,98,17785.9741866023,1662336,1714752,813408,3676,14109.9741866023,383.8404294505522
17,18,1772,414,858,63,601,100,8853.51069744122,733608,1520376,355212,3044,5809.510697441219,190.85120556640013
18,19,1790,930,866,70,576,96,16257.810638219,1664700,1550140,805380,3586,12671.810638219,353.3689525437535
19,20,2603,704,908,72,680,88,19356.9873290682,1832512,2363524,639232,4215,15141.9873290682,359.24050602771536
20,21,2033,1008,1043,76,669,103,19555.0297578009,2049264,2120419,1051344,4084,15471.029757800901,378.82051316848435
21,22,1877,790,667,72,665,101,15078.2465454592,1482830,1251959,526930,3334,11744.2465454592,352.25694497478105
22,23,1889,970,811,66,604,99,15830.6008540949,1832330,1531979,786670,3670,12160.6008540949,331.3515219099428
23,24,2114,814,1498,74,1089,92,17047.7266444508,1720796,3166772,1219372,4426,12621.726644450799,285.17231460575687
24,25,1826,897,527,65,991,100,15174.0106456896,1637922,962302,472719,3250,11924.0106456896,366.89263525198766
25,26,1637,905,873,75,932,96,16064.008592273,1481485,1429101,790065,3415,12649.008592273,370.3955663915959
26,27,2143,1332,440,71,686,96,24058.5247519748,2854476,942920,586080,3915,20143.5247519748,514.5217050312848
27,28,1744,1179,853,71,705,104,17116.1370728528,2056176,1487632,1005687,3776,13340.137072852802,353.28752841241527
28,29,1996,941,1043,65,706,104,16412.2176267945,1878236,2081828,981463,3980,12432.2176267945,312.3672770551382
29,30,1766,693,211,66,792,101,11948.6029702084,1223838,372626,146223,2670,9278.6029702084,347.5132198579925
30,31,2275,1261,653,75,701,98,24677.2249172204,2868775,1485575,823433,4189,20488.2249172204,489.09584428790646
31,32,1881,640,1363,72,1079,100,13580.9446699199,1203840,2563803,872320,3884,9696.9446699199,249.66386894747424
32,33,1822,704,606,67,594,98,12991.9137413891,1282688,1104132,426624,3132,9859.9137413891,314.8120607084643
33,34,1874,805,444,71,837,95,15358.9125184557,1508570,832056,357420,3123,12235.9125184557,391.79995256022096
34,35,1592,756,914,77,943,97,12648.441406257,1203552,1455088,690984,3262,9386.441406257,287.75111607164314
35,36,1708,774,619,67,801,101,14034.52134267,1321992,1057252,479106,3101,10933.52134267,352.5805012147694
36,37,1454,1321,1170,61,1298,100,12962.022563735,1920734,1701180,1545570,3945,9017.022563735,228.56837930887198
37,38,1664,973,1070,73,765,100,14626.100843248,1619072,1780480,1041110,3707,10919.100843248,294.5535700903156
38,39,1926,821,999,70,512,111,13117.063514262,1581246,1924074,820179,3746,9371.063514262,250.16186637111585
39,40,1883,1167,443,66,638,89,19572.6016227406,2197461,834169,516981,3493,16079.6016227406,460.33786495106216
40,41,2362,1049,889,66,998,91,22421.0713420072,2477738,2099818,932561,4300,18121.0713420072,421.42026376760924
41,42,1732,694,895,70,1068,102,12256.3703589736,1202008,1550140,621130,3321,8935.3703589736,269.0566202641855
42,43,1786,859,279,69,719,99,15535.1031695267,1534174,498294,239661,2924,12611.1031695267,431.29627802758887
43,44,1929,1133,956,70,494,101,18097.6618117729,2185557,1844124,1083148,4018,14079.661811772901,350.41467923775264
44,45,1751,1487,875,68,1077,95,19223.8497339539,2603737,1532125,1301125,4113,15110.849733953899,367.3924078277145
45,46,1757,1395,535,72,810,90,23087.4510050275,2451015,939995,746325,3687,19400.4510050275,526.1852727156902
46,47,1723,1209,747,65,787,100,15813.4366955915,2083107,1287081,903123,3679,12134.4366955915,329.8297552484778
47,48,1687,996,1311,65,597,102,15404.4108206392,1680252,2211657,1305756,3994,11410.4108206392,285.6888037215623
48,49,1869,568,996,79,796,90,16450.138684816,1061592,1861524,565728,3433,13017.138684816,379.1767749727935
49,50,1875,817,480,75,888,105,13493.6717799111,1531875,900000,392160,3172,10321.6717799111,325.3994886478909
50,51,1548,946,822,67,1024,106,12031.0973386115,1464408,1272456,777612,3316,8715.0973386115,262.81958198466526
51,52,1854,1122,1236,64,845,98,16533.6236598242,2080188,2291544,1386792,4212,12321.6236598242,292.5361742598338
52,53,1722,1014,808,55,860,105,11288.2165732157,1746108,1391376,819312,3544,7744.216573215699,218.5162689959283
53,54,1746,1014,672,74,1063,99,15627.6852967977,1770444,1173312,681408,3432,12195.6852967977,355.35213568757865
54,55,1959,1459,1091,70,666,100,22200.328515952,2858181,2137269,1591769,4509,17691.328515952,392.35592184413395
55,56,2140,1096,683,71,661,103,20414.7205195862,2345440,1461620,748568,3919,16495.7205195862,420.91657360515956
56,57,2411,929,742,70,693,99,19800.6701788878,2239819,1788962,689318,4082,15718.670178887802,385.07276283409607
57,58,1806,892,1013,69,825,104,13309.0835577684,1610952,1829478,903596,3711,9598.0835577684,258.63873774638637
58,59,2401,1023,1244,75,842,97,21921.822267093,2456223,2986844,1272612,4668,17253.822267093,369.6191573927378
59,60,1710,796,593,72,823,93,15094.6795412059,1361160,1014030,472028,3099,11995.6795412059,387.0822698033527
60,61,2164,1342,742,73,1104,100,22923.9338130956,2904088,1605688,995764,4248,18675.9338130956,439.6406264853013
61,62,2637,928,782,70,801,110,17751.1500590036,2447136,2062134,725696,4347,13404.150059003601,308.35403862442143
62,63,1991,867,1023,73,887,102,16215.4922506771,1726197,2036793,886941,3881,12334.4922506771,317.8173731171631
63,64,1832,781,1185,71,865,101,13264.0738744534,1430792,2170920,925485,3798,9466.0738744534,249.2383853199947
64,65,1998,1233,1222,71,793,88,23817.229627303,2463534,2441556,1506726,4453,19364.229627303,434.85806483950154
65,66,2444,680,743,71,935,97,17007.6023490093,1661920,1815892,505240,3867,13140.6023490093,339.8138698993871
66,67,1715,882,1032,74,802,104,14151.0787530762,1512630,1769880,910224,3629,10522.0787530762,289.9443029230146
67,68,2341,1078,581,64,1150,98,18200.8598757766,2523598,1360121,626318,4000,14200.859875776601,355.021496894415
